SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
FELDVR,EQ,16.1,16.7,15.95,16,15.95,16.3,21435,344130,26-DEC-2016,71,IN9623B01058,
FIEMIND,EQ,1071.6,1100,1051,1089.2,1090,1093.5,16666,18034098.6,26-DEC-2016,1475,INE737H01014,
FILATEX,EQ,64.05,64.9,62.4,63.05,63.1,64.95,11642,735884.4,26-DEC-2016,250,INE816B01019,
FINANTECH,EQ,71.65,71.85,69.7,70.1,70.5,71.2,76575,5382721.65,26-DEC-2016,1324,INE111B01023,
FINCABLES,EQ,404.5,429.9,400,420.4,429.5,404.15,48677,20019566.2,26-DEC-2016,1752,INE235A01022,
FINPIPE,EQ,436,437.1,429.1,430.85,433,436.2,70654,30396021.75,26-DEC-2016,1048,INE183A01016,
FIRSTWIN,EQ,2.05,2.05,2.05,2.05,2.05,2.05,9,18.45,26-DEC-2016,1,INE315J01015,
FLEXITUFF,EQ,184.2,190,181,182.8,181,184.25,26506,4859409.8,26-DEC-2016,377,INE060J01017,
FLFL,BL,123,123,123,123,123,147,30570108,3760123284,26-DEC-2016,1,INE452O01016,
FLFL,EQ,123.6,124.1,117.4,119.9,118.1,122.95,61436,7489748.45,26-DEC-2016,4658,INE452O01016,
FMGOETZE,EQ,467.65,473.65,462.2,467.8,468.1,467.65,1457,681273.05,26-DEC-2016,266,INE529A01010,
FMNL,EQ,36.15,36.5,32.4,33.05,33,36.55,24900,863052.2,26-DEC-2016,212,INE360L01017,
FORTIS,EQ,178.05,178.5,171.35,172.05,171.4,179.15,431830,75014465.3,26-DEC-2016,5074,INE061F01013,
FOSECOIND,EQ,1270.15,1334.9,1265.75,1270.25,1269.3,1253.3,484,626971.4,26-DEC-2016,184,INE519A01011,
FOURTHDIM,SM,153.9,153.95,153.9,153.95,153.95,146.65,6000,923600,26-DEC-2016,3,INE382T01014,
FRETAIL,EQ,121.3,123.45,120,120.4,120.45,123.7,40503,4908623.05,26-DEC-2016,618,INE752P01024,
FSL,EQ,36,36.7,35.65,36.5,36.4,36.35,873792,31630959.75,26-DEC-2016,3387,INE684F01012,
GABRIEL,EQ,106.2,106.65,103.15,104.65,105.4,107.15,108199,11351406.2,26-DEC-2016,1647,INE524A01029,
GAEL,EQ,88.15,88.85,87.5,88.25,88.4,88.95,65250,5753819.95,26-DEC-2016,925,INE036B01022,
GAIL,EQ,430,433.75,424.1,428.5,429,431.55,1262405,540953613.2,26-DEC-2016,27259,INE129A01019,
GAL,EQ,11.65,11.65,11.1,11.25,11.1,11.65,170435,1942162.3,26-DEC-2016,363,INE482J01021,
GALLANTT,EQ,39.65,41.6,37.05,38.15,38.35,39.85,20006,800903.9,26-DEC-2016,494,INE297H01019,
GALLISPAT,EQ,489.3,489.95,488.85,489.45,489.45,489.6,10061,4924682.25,26-DEC-2016,424,INE528K01011,
GAMMNINFRA,EQ,3.6,3.65,3.55,3.55,3.55,3.65,422103,1516577.4,26-DEC-2016,310,INE181G01025,
GAMMONIND,EQ,11.65,11.8,11.3,11.35,11.4,11.65,149390,1720237.65,26-DEC-2016,320,INE259B01020,
GANDHITUBE,EQ,295,299.95,294.6,294.95,294.6,298.95,485,143432.35,26-DEC-2016,17,INE524B01027,
GANECOS,EQ,178,178,167.15,169.25,167.15,170.55,5630,965669.4,26-DEC-2016,116,INE845D01014,
GANESHHOUC,EQ,65.65,65.65,62.8,63.5,63.1,65.55,30129,1909779.2,26-DEC-2016,421,INE460C01014,
GARDENSILK,EQ,29.5,29.5,28.25,28.3,28.3,29.25,15499,442842.65,26-DEC-2016,160,INE526A01016,
GARWALLROP,EQ,621,630,593,602.6,597,630,13000,7950122.15,26-DEC-2016,979,INE276A01018,
GATI,EQ,114.95,114.95,110.05,110.95,110.75,114.95,396359,44418444.1,26-DEC-2016,5062,INE152B01027,
GAYAPROJ,EQ,620,648,601.15,607.55,604.6,628.7,50586,31933648,26-DEC-2016,3447,INE336H01015,
GDL,EQ,225,233.5,217.75,230.1,231.4,223.25,129063,29641194.75,26-DEC-2016,4192,INE852F01015,
GEECEE,EQ,116.6,119.6,116.1,117.8,118,119,6172,725125.75,26-DEC-2016,224,INE916G01016,
GEMINI,EQ,2,2,1.9,1.95,1.95,1.95,44040,83841.45,26-DEC-2016,24,INE878C01033,
GENESYS,EQ,123.7,126.75,116.6,120.45,120.2,120.7,87289,10696891.2,26-DEC-2016,1465,INE727B01026,
GENUSPAPER,EQ,5.65,5.65,5.3,5.45,5.4,5.55,69610,377889.95,26-DEC-2016,104,INE949P01018,
GENUSPOWER,EQ,39.85,39.85,36.8,37,37.25,39,101581,3810312.95,26-DEC-2016,693,INE955D01029,
GEOJITBNPP,EQ,35.25,35.6,34.5,34.55,34.75,35.6,27028,940009.55,26-DEC-2016,219,INE007B01023,
GEOMETRIC,EQ,241.95,246,238.25,242.2,243.4,244.35,64338,15601614.9,26-DEC-2016,1787,INE797A01021,
GEPIL,EQ,458,465.4,451,456.35,454,467.9,1936,884700.45,26-DEC-2016,207,INE878A01011,
GESHIP,EQ,369,369,352,352.2,352,358.4,24977,8834257.75,26-DEC-2016,931,INE017A01032,
GET&D,EQ,292.15,298.9,285.65,287.35,285.65,296.45,7755,2249770.65,26-DEC-2016,649,INE200A01026,
GHCL,EQ,241.85,243,236.8,240.1,239.5,242.95,144420,34553413.2,26-DEC-2016,1880,INE539A01019,
GICHSGFIN,EQ,259.2,263.8,253.2,259,258.5,261.05,52660,13615695.75,26-DEC-2016,2332,INE289B01019,
GILLANDERS,EQ,62,62,60,60.45,60,62.45,3026,185003.55,26-DEC-2016,33,INE047B01011,
GILLETTE,EQ,4253,4326.95,4252.05,4300.45,4275.05,4293.05,2560,10991505.3,26-DEC-2016,670,INE322A01010,
GINNIFILA,EQ,19.4,19.8,19.2,19.35,19.25,19.7,29617,572234.05,26-DEC-2016,143,INE424C01010,
GIPCL,EQ,93.9,94.5,92.25,93.05,93.15,94.25,36425,3403508.25,26-DEC-2016,651,INE162A01010,
GITANJALI,EQ,56.7,56.7,52.7,53.05,52.8,56.75,637311,34671556.05,26-DEC-2016,5012,INE346H01014,
GKWLIMITED,EQ,425.05,450,425,430.95,430,440.35,185,81712.1,26-DEC-2016,15,INE528A01020,
GLAXO,EQ,2703,2740,2677,2723.5,2715,2727,3953,10714890.05,26-DEC-2016,1068,INE159A01016,
GLENMARK,EQ,925,925,877,888.7,889.25,925.7,371496,332973398.25,26-DEC-2016,26388,INE935A01035,
GLOBALVECT,EQ,80.75,80.9,79.5,80,79.6,82,4671,374553.45,26-DEC-2016,57,INE792H01019,
GLOBOFFS,EQ,56,59,52.25,52.75,53.7,58.05,411340,22150836.15,26-DEC-2016,4343,INE446C01013,
GLOBUSSPR,EQ,83.7,83.7,80.1,80.9,81.3,83.8,68934,5601606.4,26-DEC-2016,1074,INE615I01010,
GMBREW,EQ,501.95,501.95,482,485.65,486.6,502,23203,11345904.3,26-DEC-2016,1566,INE075D01018,
GMDCLTD,EQ,91.55,91.9,89.4,89.6,89.5,91.6,221017,19899629.85,26-DEC-2016,1789,INE131A01031,
GMRINFRA,EQ,11.6,11.65,11.25,11.3,11.3,11.7,3866142,44338563.15,26-DEC-2016,2546,INE776C01039,
GNA,EQ,180.55,181.5,177,179.65,179.5,180.45,14390,2575911.05,26-DEC-2016,588,INE934S01014,
GNFC,EQ,208.9,211.9,202.25,204.35,203,206.95,460403,95779564.4,26-DEC-2016,5785,INE113A01013,
GOACARBON,EQ,101.3,103,99.4,99.9,99.45,103.2,41133,4150122.35,26-DEC-2016,678,INE426D01013,
GOCLCORP,EQ,264.9,264.9,242.35,246.35,242.35,265.8,4299,1082862.75,26-DEC-2016,201,INE077F01035,
GODFRYPHLP,EQ,851,854.2,822.95,833.1,830,852.35,35207,29398930.55,26-DEC-2016,2526,INE260B01028,
GODREJCP,EQ,1422,1444.8,1411.15,1432.1,1430,1433.6,94150,134676070.1,26-DEC-2016,16967,INE102D01028,
GODREJIND,EQ,402,407.9,393.1,402.15,401.55,402.9,575161,230085335.45,26-DEC-2016,15196,INE233A01035,
GODREJPROP,EQ,290,303.9,289.95,293.6,291,293.75,56599,16713691.65,26-DEC-2016,1804,INE484J01027,
GOENKA,BZ,0.7,0.7,0.7,0.7,0.7,0.75,4020,2814,26-DEC-2016,3,INE516K01024,
GOKEX,EQ,57.5,58.05,56.1,56.4,56.35,58,55799,3178804,26-DEC-2016,875,INE887G01027,
GOKUL,BE,21.6,21.85,21.5,21.5,21.5,22.6,4773,102950.3,26-DEC-2016,21,INE020J01029,
GOKULAGRO,EQ,19.6,20.6,18.65,20.15,20.35,19.5,10369,208171.85,26-DEC-2016,88,INE314T01025,
GOLDBEES,EQ,2536,2536,2478,2500,2500,2486.3,11232,28028402.65,26-DEC-2016,1154,INF732E01102,
GOLDENTOBC,EQ,60.75,60.75,58.75,59.4,59.45,61.4,2868,169838.75,26-DEC-2016,25,INE973A01010,
GOLDIAM,EQ,67,67.45,60.95,63.1,60.95,65,8739,562706.85,26-DEC-2016,206,INE025B01017,
GOLDINFRA,EQ,29,29,26,26.3,26.75,26.75,9129,242896.85,26-DEC-2016,58,INE260D01016,
GOLDIWIN,EQ,254,254.9,251.35,254.7,254.7,253.85,266,67575.15,26-DEC-2016,38,INF109KB1WF4,
GOLDSHARE,EQ,2484,2499,2480,2483.7,2484,2484.4,659,1638183.25,26-DEC-2016,161,INF789F01059,
GOLDTECH,EQ,6.35,6.95,6.15,6.15,6.15,6.8,20588,126929,26-DEC-2016,24,INE805A01014,
GOODLUCK,EQ,84.25,84.25,80.5,82,82,84.9,22737,1869308.3,26-DEC-2016,371,INE127I01024,
GPIL,EQ,58.7,60.85,56.5,56.6,56.5,58.85,10873,623293.55,26-DEC-2016,160,INE177H01013,
GPPL,EQ,130,130,121,124.25,124,129.25,286882,35429590.8,26-DEC-2016,6520,INE517F01014,
GPTINFRA,EQ,224.2,225,220.1,224.5,222,226.3,6839,1530384.95,26-DEC-2016,23,INE390G01014,
GRANULES,EQ,108.45,108.65,101.15,102.1,101.65,108.55,1200587,125053570.15,26-DEC-2016,9203,INE101D01020,
GRAPHITE,EQ,73.6,73.6,71.5,71.8,72.1,72.85,10084,727117.3,26-DEC-2016,167,INE371A01025,
GRASIM,EQ,828.4,828.4,811.95,814.85,813.95,828.55,295227,241275243.9,26-DEC-2016,13144,INE047A01021,
GRAVITA,EQ,40.3,40.75,39,39.95,40,40.65,102324,4099566.65,26-DEC-2016,798,INE024L01027,
GREAVESCOT,EQ,119.7,120.05,115.35,117.4,117.3,119.7,50447,5945965.4,26-DEC-2016,1237,INE224A01026,
GREENFIRE,EQ,1.9,1.95,1.85,1.85,1.85,1.9,3207,6137.95,26-DEC-2016,13,INE217G01027,
GREENLAM,EQ,561.55,615,561.55,606.9,610,580.7,1766,1046740.75,26-DEC-2016,90,INE544R01013,
GREENPLY,EQ,242.7,249.85,238.5,241,241,247.5,24221,5907883.9,26-DEC-2016,1371,INE461C01038,
GREENPOWER,EQ,9.5,9.75,9.2,9.25,9.25,9.5,50792,473500.55,26-DEC-2016,108,INE999K01014,
GRINDWELL,EQ,320.05,326.45,317.3,320.8,319.5,325.7,2952,951642.65,26-DEC-2016,393,INE536A01023,
GRPLTD,EQ,1382.05,1382.05,1380,1381.25,1380,1427,26,35912.3,26-DEC-2016,7,INE137I01015,
GRUH,EQ,310.95,310.95,298,300.6,299.1,311.15,38767,11714220.55,26-DEC-2016,1037,INE580B01029,
GSCLCEMENT,EQ,23.2,24.8,23.2,23.55,23.7,23.55,18840,448238.9,26-DEC-2016,130,INE542A01039,
GSFC,EQ,94.05,94.25,88.55,89.15,89.4,93.55,1082372,98146171.65,26-DEC-2016,7504,INE026A01025,
GSKCONS,EQ,4989.9,5010,4930,4976.75,4975,4951.15,4552,22618408.05,26-DEC-2016,991,INE264A01014,
GSPL,EQ,144.3,145.45,129.35,131.5,130.9,137.65,904226,125273739.2,26-DEC-2016,10557,INE246F01010,
GSS,EQ,27,28,26.05,26.65,27.4,27.55,1904,51251.15,26-DEC-2016,26,INE871H01011,
GTL,EQ,16.15,16.6,15.25,15.5,15.25,16.3,215772,3396699.15,26-DEC-2016,1567,INE043A01012,
GTLINFRA,EQ,4.55,4.55,4.15,4.2,4.25,4.45,2141494,9138412.55,26-DEC-2016,819,INE221H01019,
GTNIND,EQ,12.1,13,11.5,12.75,12.8,13,1658,20898,26-DEC-2016,36,INE537A01013,
GTNTEX,EQ,12.9,13,12.2,12.6,13,12.55,2173,27216.8,26-DEC-2016,22,INE302H01017,
GTOFFSHORE,EQ,23,23.2,22.1,22.15,22.1,23.25,78545,1763520.7,26-DEC-2016,873,INE892H01017,
GUFICBIO,EQ,52.55,53.45,50.75,51.85,51.5,53.4,96593,4984576.95,26-DEC-2016,1031,INE742B01025,
GUJALKALI,EQ,333,333.5,320.5,322.15,320.95,333,45182,14740371.25,26-DEC-2016,1425,INE186A01019,
GUJAPOLLO,EQ,133,134.95,129.1,130.4,133.8,134.95,1729,227412.5,26-DEC-2016,65,INE826C01016,
GUJFLUORO,EQ,465.95,474,462.35,466.1,465,468.2,4972,2320510.75,26-DEC-2016,456,INE538A01037,
GUJGASLTD,EQ,518.25,525,505,510.5,513,516.8,11011,5683159.9,26-DEC-2016,820,INE844O01022,
GUJNRECOKE,EQ,3.2,3.3,3.15,3.15,3.15,3.25,614278,1976483.6,26-DEC-2016,339,INE110D01013,
GUJNREDVR,EQ,2.8,3.1,2.8,2.8,2.8,2.85,837,2346.45,26-DEC-2016,13,IN9110D01011,
GULFOILLUB,EQ,631,634.7,580.05,593,588,635.55,12245,7349728.25,26-DEC-2016,738,INE635Q01029,
GULFPETRO,EQ,80,80.75,77.65,80.1,80.6,80.7,56746,4490635.55,26-DEC-2016,581,INE586G01017,
GULPOLY,EQ,373.5,378.7,369,371.25,371.15,379.3,11995,4467943.6,26-DEC-2016,322,INE255D01016,
GVKPIL,EQ,5.45,5.5,5.3,5.3,5.35,5.5,963344,5177110.9,26-DEC-2016,630,INE251H01024,
HANUNG,EQ,4.4,4.6,4.15,4.4,4.4,4.4,201052,879002.1,26-DEC-2016,331,INE648H01013,
HARITASEAT,EQ,655.1,678.9,650,655.05,656.9,672.8,3235,2142158.55,26-DEC-2016,190,INE939D01015,
HARRMALAYA,EQ,62.65,63.85,61.05,61.35,61.1,63.85,26993,1674097.65,26-DEC-2016,575,INE544A01019,
HATHWAY,EQ,33.55,36.35,33.15,34.45,34.3,33.75,330090,11557407.65,26-DEC-2016,2177,INE982F01036,
HATSUN,EQ,352.1,355,350.55,352.9,355,352.6,5111,1801918.45,26-DEC-2016,123,INE473B01035,
HAVELLS,EQ,327.5,329,312.65,313.55,313.2,325.55,985546,313080033.25,26-DEC-2016,18680,INE176B01034,
HBLPOWER,EQ,35.6,35.7,34.55,34.95,34.7,35.95,119623,4206582.15,26-DEC-2016,915,INE292B01021,
HBSTOCK,EQ,16.3,16.3,15.55,15.55,15.55,15.9,7000,108976.35,26-DEC-2016,49,INE550B01014,
HCC,EQ,37.7,38,35.95,36.05,36,38.15,3787504,139723166.7,26-DEC-2016,9370,INE549A01026,
HCG,EQ,236.05,242.25,230,233.25,234.8,239.2,35509,8488104.85,26-DEC-2016,468,INE075I01017,
HCL-INSYS,EQ,57.2,57.5,53.8,54.15,53.85,57.7,2201040,122193246.35,26-DEC-2016,11049,INE236A01020,
HCLTECH,EQ,791.9,797.8,783.3,790.4,788.35,793.75,558575,442336730.2,26-DEC-2016,22196,INE860A01027,
HDFC,EQ,1220,1224.25,1206,1219.5,1221.9,1224.85,747342,909044238.9,26-DEC-2016,38777,INE001A01036,
HDFC,W2,132,135,132,135,135,138,102200,13512300,26-DEC-2016,3,INE001A13031,
HDFCBANK,EQ,1178.55,1186.1,1170.1,1175,1177.3,1186.25,1045966,1230203112.25,26-DEC-2016,29237,INE040A01026,
HDFCMFGETF,EQ,2570,2594.75,2551.65,2589.1,2592,2570,706,1822637.9,26-DEC-2016,239,INF179K01CN1,
HDFCNIFETF,EQ,802,803.7,801,801.25,801.25,808,195,156398.03,26-DEC-2016,16,INF179KB1KP3,
HDFCSENETF,EQ,2629.16,2629.16,2626.95,2626.95,2626.95,2655.81,255,669874.46,26-DEC-2016,3,INF179KB1KQ1,
HDIL,EQ,57.4,57.6,54,54.25,54.15,58.05,9508671,526471731,26-DEC-2016,30021,INE191I01012,
HEG,EQ,147.5,152,146.5,148.45,147.95,149.2,3871,578654.25,26-DEC-2016,218,INE545A01016,
HEIDELBERG,EQ,106.15,106.15,101.85,102.65,102.15,105.45,96620,10022292.55,26-DEC-2016,1261,INE578A01017,
HERCULES,EQ,134.65,135.7,133.15,133.65,134.1,136,5595,748544.8,26-DEC-2016,200,INE688E01024,
HERITGFOOD,EQ,854.95,860,825,830.65,832,848.55,17574,14678313.1,26-DEC-2016,2143,INE978A01019,
HEROMOTOCO,EQ,3041.1,3049.9,2975.25,3007.6,3000.1,3040.1,143439,429638477.15,26-DEC-2016,18531,INE158A01026,
HESTERBIO,EQ,724.95,725,691,695.15,691,725,2430,1713808.8,26-DEC-2016,199,INE782E01017,
HEXATRADEX,EQ,14,15.4,14,14.55,14.55,14.8,17564,258285.3,26-DEC-2016,54,INE750M01017,
HEXAWARE,EQ,204.8,204.8,199.75,201.45,199.85,204.25,545993,110547174.85,26-DEC-2016,4511,INE093A01033,
HFCL,EQ,12.3,12.3,11.9,12,11.9,12.25,1119373,13525978.2,26-DEC-2016,1203,INE548A01028,
HGS,EQ,514,514,486.05,496.4,491,517.1,10652,5333974.65,26-DEC-2016,366,INE170I01016,
HIGHGROUND,EQ,36.5,38.9,33.25,35.25,35.1,36.25,77014,2734174.35,26-DEC-2016,264,INE361M01021,
HIKAL,EQ,208.55,210.5,204.35,205.05,206.4,210.35,14206,2946210.8,26-DEC-2016,677,INE475B01022,
HIL,EQ,594,598,585,588.9,587.3,594.05,935,549851.15,26-DEC-2016,109,INE557A01011,
HILTON,EQ,17.5,18.4,17.05,18.05,18.2,17.6,7865,140947.7,26-DEC-2016,73,INE788H01017,
HIMATSEIDE,EQ,275.1,275.1,267,270.55,269.1,276.1,40148,10864454.85,26-DEC-2016,1041,INE049A01027,
HINDALCO,EQ,157.5,157.5,149.7,151.5,151.3,159.3,10229442,1557369426.05,26-DEC-2016,64781,INE038A01020,
HINDCOMPOS,EQ,1491.65,1540.8,1491.65,1522.05,1494.1,1505.4,384,585348.9,26-DEC-2016,54,INE310C01011,
HINDCOPPER,EQ,58.25,61.9,57.7,58.2,58.05,58.55,1888829,112922413.9,26-DEC-2016,9206,INE531E01026,
HINDDORROL,EQ,11.35,11.9,11.35,11.45,11.5,11.95,69484,803005.8,26-DEC-2016,195,INE551A01022,
HINDMOTORS,EQ,6.9,6.9,6.7,6.75,6.75,6.85,207449,1405533.3,26-DEC-2016,257,INE253A01025,
HINDNATGLS,EQ,100.5,105,98.1,100.1,100.5,104.9,579,58113.05,26-DEC-2016,27,INE952A01022,
HINDOILEXP,EQ,62.6,62.95,60.6,61.25,61,62.05,532197,32744263.25,26-DEC-2016,3702,INE345A01011,
HINDPETRO,EQ,420,421.1,410,413.3,413.45,420.55,2125904,881613488.55,26-DEC-2016,40643,INE094A01015,
HINDSYNTEX,EQ,11.25,11.25,11,11,11,11,22,244.75,26-DEC-2016,3,INE155B01012,
HINDUJAFO,EQ,30.1,30.4,29.55,29.95,30,30.8,14345,430539.7,26-DEC-2016,73,INE291F01016,
HINDUJAVEN,EQ,511.9,511.9,491,498.9,500,511.9,1625,816321.15,26-DEC-2016,153,INE353A01023,
HINDUNILVR,EQ,788,804.9,785.05,801.8,804,789.5,686679,548164909.8,26-DEC-2016,21575,INE030A01027,
HINDZINC,EQ,255.05,257,248.5,249.7,249.4,258.45,1626586,407732493.8,26-DEC-2016,25675,INE267A01025,
HIRECT,EQ,85.2,85.2,82.35,83.2,83,84.95,2516,211366.95,26-DEC-2016,32,INE835D01023,
HITECH,SM,126,127,123,123,123,121,4500,564000,26-DEC-2016,3,INE106T01017,
HITECHGEAR,EQ,293,293,281.6,283.55,283.05,296.45,4298,1232303.6,26-DEC-2016,291,INE127B01011,
HITECHPLAS,EQ,153.05,155.5,150,150.5,150,155,8103,1226836.15,26-DEC-2016,296,INE120D01012,
HMT,BE,39.95,39.95,37,39.55,39.75,38.45,36325,1424124.25,26-DEC-2016,130,INE262A01018,
HMVL,EQ,273.9,273.9,258.1,259.9,259.9,267.75,9915,2595651.7,26-DEC-2016,335,INE871K01015,
HNGSNGBEES,EQ,2219.9,2229,2155,2160,2155,2229,33,71906.3,26-DEC-2016,11,INF732E01227,
HOCL,EQ,18.95,18.95,18,18.1,18.05,18.75,37739,693800.45,26-DEC-2016,175,INE048A01011,
HONAUT,EQ,8422,8490,8255,8389.1,8482.85,8503.85,359,3006624.85,26-DEC-2016,127,INE671A01010,
HONDAPOWER,EQ,1415,1438,1370,1386.5,1380,1411.95,3601,5038339.5,26-DEC-2016,390,INE634A01018,
HOTELEELA,EQ,15.95,16.05,15.75,15.8,15.8,16.05,44469,707493.85,26-DEC-2016,233,INE102A01024,
HOVS,EQ,107.2,107.35,102.3,103.35,102.35,107.75,14820,1547922.15,26-DEC-2016,405,INE596H01014,
HPL,EQ,99.45,99.45,95.2,95.5,95.9,99.05,99308,9575630.55,26-DEC-2016,1470,INE495S01016,
HSCL,EQ,34.25,34.3,33.7,34,34.3,34.25,182446,6202922.05,26-DEC-2016,489,INE019C01026,
HSIL,EQ,278.4,281,276,279.85,280,280.75,23652,6587791.75,26-DEC-2016,1756,INE415A01038,
HTMEDIA,EQ,74.5,74.5,71.6,72,71.6,73.15,59444,4301946.95,26-DEC-2016,1208,INE501G01024,
HUBTOWN,EQ,93,93,87.2,88,88,89.5,2747,242258.85,26-DEC-2016,90,INE703H01016,
HUDCO,N2,1234,1250,1230,1244.16,1245,1250,1720,2134526.98,26-DEC-2016,22,INE031A07840,
HUDCO,N3,1200,1225,1200,1225,1225,1200.4,80,96750,26-DEC-2016,3,INE031A07832,
HUSYSLTD,SM,38,38,35.1,35.1,35.1,39.25,4000,146200,26-DEC-2016,2,INE336T01010,
IBREALEST,EQ,70.7,70.7,67.75,69.45,69.5,70.65,6145140,423821858.7,26-DEC-2016,21541,INE069I01010,
IBULHSGFIN,EQ,634,639.4,625.8,629.15,631.75,639.25,636780,402124390.85,26-DEC-2016,26164,INE148I01020,
IBULHSGFIN,N3,1008,1008,1008,1008,1008,1020,10,10080,26-DEC-2016,1,INE148I07GA6,
IBULHSGFIN,NA,1016.89,1016.89,1016.89,1016.89,1016.89,1017.99,1,1016.89,26-DEC-2016,1,INE148I07GL3,
IBULHSGFIN,NC,925.05,925.05,925.05,925.05,925.05,1001,4,3700.2,26-DEC-2016,1,INE148I08231,
IBULHSGFIN,NE,1010,1011,1010,1011,1011,1010,274,276835,26-DEC-2016,5,INE148I08256,
IBVENTURES,EQ,20,20,19.5,19.85,20,20,158902,3146242.6,26-DEC-2016,552,INE274G01010,
IBWSL,EQ,20.3,20.3,18.6,19.5,19.65,20.15,74889,1468654.65,26-DEC-2016,626,INE126M01010,
ICICIBANK,EQ,252.25,252.45,247.1,248.15,247.85,251.85,6151958,1529553389.6,26-DEC-2016,50525,INE090A01021,
ICICIPRULI,EQ,299,300.5,294.55,295.05,295,300.65,483325,143480424.55,26-DEC-2016,13828,INE726G01019,
ICIL,EQ,157.6,158.3,152.3,152.95,152.3,158.35,230978,35686969.7,26-DEC-2016,4153,INE483B01026,
ICRA,EQ,3940.05,3970,3891,3954.6,3970,3966.45,435,1717899.6,26-DEC-2016,159,INE725G01011,
ICSA,EQ,2.85,2.95,2.75,2.85,2.85,2.85,18552,52470.4,26-DEC-2016,36,INE306B01029,
IDBI,EQ,67.7,68,65.75,65.95,65.8,67.8,1462875,97300278.95,26-DEC-2016,5405,INE008A01015,
IDBIGOLD,EQ,2547.95,2547.95,2531,2534.25,2539,2535,65,165333,26-DEC-2016,19,INF397L01554,
IDEA,EQ,71.45,71.45,69.1,69.4,69.4,70.8,3545596,247435944.95,26-DEC-2016,17186,INE669E01016,
IDFC,EQ,51.35,51.65,50.25,50.55,50.4,51.7,2624267,133827408.45,26-DEC-2016,13019,INE043D01016,
IDFCBANK,EQ,58.75,58.75,55.35,56.2,56.15,58.75,7083364,401966536.75,26-DEC-2016,34846,INE092T01019,
IDFCBANK,N1,5015,5015,5010,5010,5010,5010,6,30070,26-DEC-2016,2,INE092T08CC6,
IDFCBANK,N2,7593,7800,7593,7800,7800,7593.04,34,263386,26-DEC-2016,10,INE092T08CD4,
IDFCBANK,N3,4782.05,4782.05,4782,4782,4782,4781.05,4,19128.05,26-DEC-2016,3,INE092T08CE2,
IDFCBANK,N4,7260.99,7450,7260.99,7400,7400,7400,8,59021.98,26-DEC-2016,3,INE092T08CF9,
IDFCBANK,N6,7700,7700,7565.59,7700,7700,7699,26,198416.7,26-DEC-2016,8,INE092T08CH5,
IDFCBANK,N8,7550,7550,7550,7550,7550,7800,4,30200,26-DEC-2016,1,INE092T08CJ1,
IDFNIFTYET,EQ,79,79.4,79,79.3,79.3,79.88,107,8483.8,26-DEC-2016,3,INF194KA1U07,
IFBAGRO,EQ,383.05,386.8,362.5,366.7,363,379.3,952,352344.8,26-DEC-2016,65,INE076C01018,
IFBIND,EQ,421,432.6,418.05,429.4,430.05,425.6,11150,4759554.35,26-DEC-2016,460,INE559A01017,
IFCI,EQ,25.65,25.7,24.3,24.45,24.4,25.9,10146200,252397233.05,26-DEC-2016,12499,INE039A01010,
IFCI,NC,1099,1099,1099,1099,1099,1051,110,120890,26-DEC-2016,2,INE039A07751,
IFCI,NH,1101,1101,1101,1101,1101,1105,20,22020,26-DEC-2016,1,INE039A07801,
IFGLREFRAC,EQ,165.2,165.2,150.5,154.45,154,165.2,29807,4642610.4,26-DEC-2016,1230,INE023B01012,
IGARASHI,EQ,704.9,704.95,668.15,679.8,680,699.55,19280,13103859.55,26-DEC-2016,891,INE188B01013,
IGL,EQ,876.7,898,867.2,889.25,887.5,877.1,930844,826339843.8,26-DEC-2016,27768,INE203G01019,
IGPL,EQ,231.35,231.35,217.5,219.15,220,228.45,24409,5377316.45,26-DEC-2016,612,INE204A01010,
IIFL,EQ,258.6,258.6,250,251.7,251.7,259.05,392206,99183862.3,26-DEC-2016,893,INE530B01024,
IIFLFIN,N5,1067,1067,1061,1063.09,1061.01,1065.92,2369,2521596.72,26-DEC-2016,59,INE866I08139,
IIFLFIN,N6,1123,1124.26,1123,1124.26,1124.26,1126.5,55,61828,26-DEC-2016,4,INE866I08147,
IIFLFIN,NA,1070,1077.98,1070,1070,1070,1066,315,337129.8,26-DEC-2016,9,INE866I07594,
IIFLFIN,NB,1116.01,1146,1116.01,1146,1146,1135.85,103,116475.83,26-DEC-2016,5,INE866I07602,
IIHFL,N1,1050.01,1054.99,1050.01,1050.32,1050.15,1052.39,394,414114.62,26-DEC-2016,23,INE477L07040,
IIHFL,N2,1090,1106,1088,1099.33,1099,1106.55,795,872396.15,26-DEC-2016,32,INE477L08014,
IIHFL,N3,1450,1450,1450,1450,1450,1459.99,400,580000,26-DEC-2016,2,INE477L08022,
IITL,EQ,71,71,71,71,71,71.8,115,8165,26-DEC-2016,2,INE886A01014,
IL&FSENGG,EQ,41,42.45,40.15,40.55,40.55,41.45,43242,1775394.8,26-DEC-2016,298,INE369I01014,
IL&FSTRANS,EQ,100,101.15,98.05,98.5,98.25,101.15,171522,17053901.45,26-DEC-2016,1751,INE975G01012,
IMFA,EQ,559.9,569.5,532,536.6,534,558.1,28857,15781595.5,26-DEC-2016,1042,INE919H01018,
