SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
CEREBRAINT,EQ,23.95,24,22.75,23.2,23.05,23.75,427372,10016007.1,26-DEC-2016,999,INE345B01019,
CESC,EQ,621.6,624.75,601.2,609.5,604.05,620.55,498502,304633722,26-DEC-2016,15213,INE486A01013,
CGCL,EQ,52.25,55.4,52.25,52.7,52.6,54.25,21082,1120475.95,26-DEC-2016,53,INE180C01026,
CHAMBLFERT,EQ,65,68.95,64.5,68.15,68.1,65.85,708521,47770024.45,26-DEC-2016,4606,INE085A01013,
CHEMFALKAL,EQ,248.5,250.65,238,241.25,240.25,250.95,26531,6501418.2,26-DEC-2016,1012,INE479E01028,
CHENNPETRO,EQ,258.7,262.6,252.05,256.5,257.4,262.7,163088,41824299.9,26-DEC-2016,3949,INE178A01016,
CHOLAFIN,EQ,933,978,886.05,930.6,949.9,934.8,168230,153530971.85,26-DEC-2016,14192,INE121A01016,
CHROMATIC,EQ,2.85,2.85,2.7,2.75,2.8,2.75,119498,328167,26-DEC-2016,91,INE662C01015,
CIGNITITEC,EQ,362,362,345,347.05,346.25,357.9,42048,14705686.3,26-DEC-2016,1028,INE675C01017,
CIMMCO,EQ,66,67.05,64.2,65.05,65.25,66.95,15973,1050789.95,26-DEC-2016,190,INE184C01028,
CINELINE,EQ,80.7,81.5,78,78.4,78.5,78.7,85214,6769599.4,26-DEC-2016,1245,INE704H01022,
CINEVISTA,EQ,6.2,6.2,5.7,5.95,6,5.9,10969,65472.45,26-DEC-2016,44,INE039B01026,
CIPLA,EQ,581.3,581.3,548.1,554.95,555.3,582.3,2106357,1177811568.75,26-DEC-2016,36949,INE059A01026,
CLNINDIA,EQ,703.9,704.55,680,697.65,685.1,709.7,21833,15209762.1,26-DEC-2016,1638,INE492A01029,
CMICABLES,EQ,141.5,141.5,134.15,135.35,135.5,139.55,16689,2268031.65,26-DEC-2016,156,INE981B01011,
CNOVAPETRO,EQ,23,23,21.6,21.6,21.6,22.7,800,17422.5,26-DEC-2016,8,INE672K01025,
COALINDIA,EQ,288.4,288.4,282.6,285,285,287.85,2446568,696139711.55,26-DEC-2016,29523,INE522F01014,
COFFEEDAY,EQ,195.15,197.7,192.35,193.85,194,197.3,67532,13106293,26-DEC-2016,1487,INE335K01011,
COLPAL,EQ,900.35,905.5,890.8,895.55,893,902.15,119058,106862903.9,26-DEC-2016,8335,INE259A01022,
COMPINFO,EQ,219,219,205.25,213.35,215,219.1,11488,2453231.9,26-DEC-2016,201,INE070C01029,
COMPUSOFT,EQ,13.9,14.35,13.6,13.95,14,14.05,26066,362671.85,26-DEC-2016,111,INE453B01029,
CONCOR,EQ,1102,1122,1086.4,1093.05,1088.75,1102.2,172366,189617947.6,26-DEC-2016,12362,INE111A01017,
CONSOFINVT,EQ,55.25,56.2,53.15,54.1,53.4,56,20635,1117124.65,26-DEC-2016,176,INE025A01027,
CONTROLPR,EQ,244.05,247.9,237,239.6,238,244.7,5336,1286968.4,26-DEC-2016,191,INE663B01015,
CORDSCABLE,EQ,71.2,72.9,65.15,65.85,65.55,71.7,216242,14732237.95,26-DEC-2016,2649,INE792I01017,
